source,country,review_id,author,rating,title,body,version,updated
app_store,pe,14187459168,giovaesther,5,Lo máximo,🥰,9.1.56,2026-06-15T16:24:37-07:00
app_store,pe,14186933514,Cyzang,5,App anti stress,"La música relaja y libera de tensiones, es una plataforma donde te conectas contigo mismo, a través de la música",9.1.56,2026-06-15T13:09:43-07:00
app_store,pe,14186661683,Citytras,5,Elogios,"Superó por mucho mi expectativa y estoy MUY satisfecho. Encuentro además todo tipo de música orquestada y tooodos los intérpretes. Realmente estoy muy satisfecho. Agrego que encuentro toooodas las canciones que gusto, y no solo de ahora, muuuchas antiguas. Felicitaciones. Cesar Gray.",9.1.56,2026-06-15T11:40:19-07:00
app_store,pe,14186619782,ivse83,5,Super,Excelente,9.1.56,2026-06-15T11:26:58-07:00
app_store,pe,14186589969,@Albitarte14,5,Mi mejor app,Lo máximo me da todo,9.1.56,2026-06-15T11:17:27-07:00
app_store,pe,14186514728,Lyssete_,5,creativamente escucha música,me gusta que permite personalización como hacer tus playlist con descripción y foto de portada editable desde el app,9.1.56,2026-06-15T10:53:58-07:00
app_store,pe,14185105931,AstonMartinNut,5,Lo máximo,Me divierte mucho,9.1.56,2026-06-15T03:34:38-07:00
app_store,pe,14183823668,My beibe,5,Muy bueno,Muy bueno,9.1.50,2026-06-14T18:04:08-07:00
app_store,pe,14183727651,Spotify 67))8?8,5,67,Cuando te sales de la aplicación se sigue escuchando la música,9.1.50,2026-06-14T17:25:31-07:00
app_store,pe,14183675110,ok203040,1,Excesivos anuncio y publicidad,"Por favor, coloquen mucha menos publicidad !!  y bajen los precios si quieren que una familia pague las mensualidades",9.1.50,2026-06-14T17:04:54-07:00
app_store,pe,14183498554,Para ti ☺️💫🎀,5,Spotify para ti ☺️,Gracias por acompañarme en yodo momento.,9.1.50,2026-06-14T15:53:20-07:00
app_store,pe,14182356540,Hyunjin 120994,5,Bien,Ok,9.1.50,2026-06-14T09:27:27-07:00
app_store,pe,14181425083,André260196,5,Buena app,A mejorado mucho,9.1.50,2026-06-14T04:37:15-07:00
app_store,pe,14179738054,Montaña Jiuyi,5,DuduBubu,DuduBubu,9.1.50,2026-06-13T16:57:12-07:00
app_store,pe,14179648187,Lonsh I,5,Yari,Que riiico,9.1.50,2026-06-13T16:20:16-07:00
app_store,pe,14178955913,ñkjgvg,4,Mejorar en no poner tantos anuncios,Bueno,9.1.50,2026-06-13T12:06:50-07:00
app_store,pe,14178931891,Rizwannn0912,5,Gracias,Gracias por eliminar los anuncios ya quería cambiar la canción varias veces y no podía pero ahora ya puedo,9.1.50,2026-06-13T11:58:47-07:00
app_store,pe,14174946377,Ana Gamarra,5,Asistente Virtual Livi,Selecciona mis canciones de preferencia y me recomiendas las que más me gusta! Es muy funcional. Me encanta! ☺️☺️,9.1.50,2026-06-12T11:47:13-07:00
app_store,pe,14174363695,ChenteRC,5,Me gusta,Lo máximo ahora tiene muchas más funciones,9.1.50,2026-06-12T08:49:26-07:00
app_store,pe,14173540528,Jhonkkk,5,Excelente App,"Muy útil con sus recomendaciones de música, crea tu mismo estilo musical",9.1.50,2026-06-12T04:56:13-07:00
app_store,pe,14172477354,Maricielo Riri 🪲🐍🦎🦖,5,Amo 🐍,Me vas amar! 🪲,9.1.50,2026-06-11T21:16:16-07:00
app_store,pe,14170677031,RennellSushi,5,Excepcional 🤩,Hacen la vida más bella,9.1.50,2026-06-11T10:14:00-07:00
app_store,pe,14169780400,Rol3ando,5,I like it,Is Good experience listen music here,9.1.48,2026-06-11T05:49:29-07:00
app_store,pe,14169497243,Erick Ek,3,Hla o,Hola,9.1.48,2026-06-11T04:15:09-07:00
app_store,pe,14168320111,mabdien,5,ManuBE,67MB,9.1.48,2026-06-10T19:31:08-07:00
